Name,State
Zoological Survey of India,Andaman and Nicobar Islands
Regional Medical Research Institute (I.C.M.R.),Andaman and Nicobar Islands
Dr.B.R. Ambedkar Institute of Technology,Andaman and Nicobar Islands
ANDAMAN COLLEGE (ANCOL),Andaman and Nicobar Islands
Mahatma Gandhi Govt. College,Andaman and Nicobar Islands
ANDAMAN LAW COLLEGE,Andaman and Nicobar Islands
Andaman and Nicobar inslands Institute of medical sciences,Andaman and Nicobar Islands
Tagore Government College of Education,Andaman and Nicobar Islands
Jawaharlal Nehru Rajkeeya  Mahavidyalaya,Andaman and Nicobar Islands
R P R COLLEGE OF PHYSIOTHERAPY ONGOLE PRAKASAM DISTRICT,Andhra Pradesh
SATYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Andhra Pradesh
GOVERNMENT DEGREE COLLEGE FOR MEN,Andhra Pradesh
Aadilakshmi college of Education,Andhra Pradesh
"Government Degree College, Yeleswaram",Andhra Pradesh
"B.T. Government Degree College, Madanapalli",Andhra Pradesh
VASAVI COLLEGE OF PHARMACY,Andhra Pradesh
A.S.D.Government Degree College for Women,Andhra Pradesh
B.S. & J.R. DEGREE COLLEGE,Andhra Pradesh
SRI RAMESWARI DEGREE COLLEGE,Andhra Pradesh
"Geetanjali Nursing College, Kurnool",Andhra Pradesh
"Sri Sai College of Nursing, Anantapur",Andhra Pradesh
Y.V.N.R. GOVT.DEGREE COLLEGE,Andhra Pradesh
"SVCR Government Degree College, Palamaner   Rural",Andhra Pradesh
SRI SAI RAJESWARI NURSING COLLEGE,Andhra Pradesh
"DRK REDDY COLLEGE OF PHYSICAL EDUCATION, G. MAMIDADA",Andhra Pradesh
SRI VIVEKANANDA DEGREE COLLEGE,Andhra Pradesh
ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY,Andhra Pradesh
LITTLE ROSE COLLEGE OF EDUCATION,Andhra Pradesh
"GAYATRI COLLEGE OF SCIENCE & MANAGEMENT, MUNASABPETA, SRIKAKULAM",Andhra Pradesh
RAVOOF &  VAZIR KHAN MEMORIAL COLLEGE OF EDUCATION,Andhra Pradesh
MOTHER THERESA DEGREE COLLEGE,Andhra Pradesh
VAMSADHARA DEGREE COLLEGE,Andhra Pradesh
SPOORTHY DEGREE COLLEGE,Andhra Pradesh
NRI MEDICAL COLLEGE,Andhra Pradesh
GURAJADA COLLEGE OF EDUCATION,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, SEETHAMMAPETA",Andhra Pradesh
"Grace College of Nursing, Machilipatnam",Andhra Pradesh
"Nava Jeevan College of Medical Lab Technology, Kadapa",Andhra Pradesh
"KRK Govt. Degree College, Addanki",Andhra Pradesh
"Sri Venkata Padmavathi College of Nursing, Anantapur",Andhra Pradesh
"Konaseema Institute of Medical Sciences (BPT), Amalapuram",Andhra Pradesh
"Krishnaveni College of Nursing, Guntur",Andhra Pradesh
GSL COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
RANGUMUDRI COLLEGE OF EDUCATION,Andhra Pradesh
"Social Welfare Residential Government Degree College for Girls, Kanchikacherla",Andhra Pradesh
SYSTEM DEGREE COLLEGE,Andhra Pradesh
DEEKSHITHA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"Kugler College of Nursing, Guntur",Andhra Pradesh
"Manisha College of Nursing, Visakhapatnam",Andhra Pradesh
University College of Arts and Commerce,Andhra Pradesh
"Sri Venkateswara Medical College, Tirupati",Andhra Pradesh
HAJIKAREEM COLLEGE OF EDUCATION,Andhra Pradesh
SRI CHAITHANYA DEGREE COLLEGE FOR COEDUCATION,Andhra Pradesh
ABHYUDAYA DEGREE COLLEGE,Andhra Pradesh
"Government Medical College, Anantapur",Andhra Pradesh
"Guntur Medical College, Guntur",Andhra Pradesh
VIDYADHARI DEGREE COLLEGE,Andhra Pradesh
GOOD WILL DEGREE COLLEGE B KOTHAKOTA,Andhra Pradesh
PALIVELA PG COLLEGE,Andhra Pradesh
"Smt. Vijaya Luke College of Nursing, Visakhapatnam",Andhra Pradesh
ASR DEGREE COLLEGE,Andhra Pradesh
"ASRAM College of Nursing, Eluru",Andhra Pradesh
"Rayalaseema College of Nursing, Kurnool",Andhra Pradesh
"Vijaya College of Nursing, Nellore",Andhra Pradesh
"S.B.S.Y.M.  DEGREE COLLEGE, PALASA",Andhra Pradesh
B.R.S.DEGREE COLLEGE,Andhra Pradesh
SMT SARASWATHAMMA COLLEGE OF NURSING,Andhra Pradesh
PRAJNA COLLEGE OF SCIENCE & ARTS NEAR G.J. COLLEGE,Andhra Pradesh
"Lenora Institute of Dental Sciences, Rajahmundry",Andhra Pradesh
"GEMS Medical College, Srikakulam",Andhra Pradesh
VAMSADHARA COLLEGE OF EDUCATION,Andhra Pradesh
"Mamata College of Nursing, Tenali",Andhra Pradesh
"Aditya College of Nursing, Kakinada",Andhra Pradesh
"Narayana College of Physiotheraphy, Nellore",Andhra Pradesh
"Rangaraya Medical College, Kakinada",Andhra Pradesh
"NATIONAL COLLEGE OF NURSING, KAKINADA",Andhra Pradesh
VSM COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
SRI CHALAPATI DEGREE COLLEGE,Andhra Pradesh
"Chaitanya College of B.Sc Nursing, Ongole",Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, PALAKONDA",Andhra Pradesh
"Care Waltair College of Nursing, Visakhapatnam",Andhra Pradesh
C.S.T.S. GOVT. KALASALA,Andhra Pradesh
"Venkata Padmavathi College of Physiotherapy, Tirupati",Andhra Pradesh
"Saikrupa College of Nursing, Kadapa",Andhra Pradesh
"Rajiv Inst. of Medical Sciences, Srikakulam",Andhra Pradesh
"Horsley Hills College of Nursing, Madanapalle",Andhra Pradesh
"Repalle Christian College of Nursing, Repalle",Andhra Pradesh
SRI SAI DEGREE COLLEGE,Andhra Pradesh
Dr. K. V. Subba Reddy School of Business Management,Andhra Pradesh
KIRANMAI DEGREE COLLEGE,Andhra Pradesh
"St. Joseph's College of Nursing, Dargametta",Andhra Pradesh
"Govt.Degree College, Mandapeta",Andhra Pradesh
SRI KRISHNA SAI DEGREE COLLEGE,Andhra Pradesh
"Maharaja Inst. of Medical Sciences, Vizianagaram",Andhra Pradesh
SUGUNA DEGREE COLLEGE,Andhra Pradesh
"Government Degree College, Rajam ",Andhra Pradesh
SRI LAKSHMI VENKATESWARA DEGREE COLLEGE GURRAMKONDA,Andhra Pradesh
SRI SAI MAHITHA DEGREE COLLEGE,Andhra Pradesh
"Govt Degree College, Marripalem, Koyyur Mandal",Andhra Pradesh
"Govt.Degree College, Chintapalli",Andhra Pradesh
